year,selling_price,km_driven,fuel,seller_type,owner,brand
18,13.0,35.0,Diesel,Individual,First Owner,Mahindra
20,10.5,10.0,Diesel,Individual,First Owner,Hyundai
9,3.0,15.0,Petrol,Individual,First Owner,Maruti
16,6.0,25.0,Petrol,Individual,First Owner,Hyundai
17,9.0,50.0,Diesel,Individual,First Owner,Hyundai
19,5.5,25.0,Petrol,Individual,First Owner,Hyundai
7,1.0,52.0,Petrol,Individual,Second Owner,Maruti
17,4.0,15.0,Petrol,Individual,First Owner,Honda
11,1.2,20.0,Petrol,Individual,First Owner,Tata
13,3.0,90.0,Diesel,Individual,First Owner,Hyundai
11,1.4,60.0,Diesel,Individual,Second Owner,Tata
15,6.4,23.0,Petrol,Individual,First Owner,Skoda
18,3.8,22.155,Petrol,Individual,First Owner,Maruti
11,1.2,20.0,Petrol,Individual,First Owner,Tata
18,6.5,70.0,Petrol,Individual,First Owner,Maruti
9,1.5,60.0,Petrol,Individual,Second Owner,Maruti
18,5.5,35.0,Petrol,Individual,First Owner,Ford
12,6.5,71.042,Diesel,Dealer,First Owner,Mahindra
12,10.25,167.87,Diesel,Dealer,Second Owner,Other
11,1.95,133.564,Diesel,Dealer,First Owner,Ford
18,38.0,10.0,Diesel,Dealer,First Owner,Mercedes-Benz
13,14.9,40.0,Diesel,Dealer,First Owner,BMW
19,49.5,30.0,Diesel,Dealer,First Owner,BMW
18,11.4,23.038,Petrol,Trustmark Dealer,First Owner,Honda
11,0.95,70.0,Diesel,Individual,First Owner,Chevrolet
17,30.5,30.0,Diesel,Individual,First Owner,BMW
17,5.5,19.89,Petrol,Dealer,First Owner,Hyundai
15,6.25,11.918,Petrol,Trustmark Dealer,First Owner,Maruti
17,5.2,10.51,Petrol,Dealer,First Owner,Hyundai
16,2.39,41.0,Petrol,Dealer,First Owner,Chevrolet
17,26.0,47.162,Diesel,Trustmark Dealer,First Owner,Toyota
12,2.29999,49.824,Petrol,Dealer,First Owner,Hyundai
13,13.0,58.5,Diesel,Dealer,First Owner,Audi
17,5.85,43.608,Petrol,Trustmark Dealer,First Owner,Maruti
18,8.25,11.212,Petrol,Trustmark Dealer,First Owner,Maruti
13,2.8,52.0,Diesel,Dealer,First Owner,Hyundai
16,7.25,49.217,Petrol,Trustmark Dealer,First Owner,Maruti
15,3.0,90.0,Diesel,Individual,First Owner,Mahindra
15,3.75,70.0,Petrol,Individual,First Owner,Hyundai
3,3.1,90.0,Petrol,Individual,Other,Honda
11,3.75,190.0,Diesel,Individual,Third Owner,Maruti
16,19.5,106.0,Diesel,Individual,First Owner,Ford
12,4.0,80.0,Diesel,Individual,Second Owner,Tata
14,5.5,80.0,Diesel,Individual,Second Owner,Nissan
18,2.7,20.0,Petrol,Individual,First Owner,Maruti
12,5.55,110.0,Diesel,Individual,Second Owner,Maruti
13,5.0,60.0,Diesel,Individual,Second Owner,Ford
10,4.0,130.0,Diesel,Individual,Second Owner,Skoda
17,2.8,28.838,Petrol,Individual,First Owner,Hyundai
8,0.8,200.0,Petrol,Individual,First Owner,Tata
6,0.55,100.0,Diesel,Individual,First Owner,Tata
14,2.5,50.0,Petrol,Individual,First Owner,Maruti
10,2.5,190.0,Diesel,Individual,Other,Mahindra
7,0.95,100.0,Diesel,Individual,Second Owner,Mahindra
14,7.25,135.0,Diesel,Individual,Second Owner,Mahindra
15,3.2,50.0,Diesel,Individual,Third Owner,Mahindra
14,12.0,135.0,Diesel,Individual,Third Owner,Skoda
12,1.6,50.0,Diesel,Individual,First Owner,Chevrolet
18,7.9,19.571,Diesel,Dealer,First Owner,Honda
18,12.0,29.6,Petrol,Dealer,First Owner,Honda
11,1.75,70.0,Petrol,Individual,First Owner,Maruti
18,9.5,15.0,Diesel,Individual,First Owner,Maruti
19,3.4,50.0,Petrol,Individual,First Owner,Maruti
17,8.25,13.5,Diesel,Individual,First Owner,Renault
18,31.0,22.0,Petrol,Individual,First Owner,Audi
18,7.8,25.0,Diesel,Dealer,First Owner,Honda
10,3.5,80.0,Petrol,Individual,Third Owner,Toyota
18,6.9,39.0,Petrol,Dealer,First Owner,Honda
16,2.45,60.0,Petrol,Individual,First Owner,Maruti
18,7.9,49.0,Diesel,Dealer,First Owner,Honda
18,6.8,48.6,Petrol,Dealer,First Owner,Honda
17,5.4,20.0,Petrol,Individual,Second Owner,Hyundai
16,4.25,25.0,Petrol,Individual,First Owner,Mahindra
8,1.4,120.0,Petrol,Individual,First Owner,Maruti
19,11.0,30.0,Diesel,Individual,First Owner,Maruti
15,7.15,35.0,Diesel,Individual,First Owner,Renault
13,15.8,86.0,Diesel,Dealer,First Owner,Audi
15,17.5,127.643,Diesel,Dealer,First Owner,Audi
18,4.0,54.0,Petrol,Dealer,Second Owner,Tata
14,17.5,102.354,Diesel,Dealer,First Owner,Audi
14,18.5,62.237,Petrol,Dealer,First Owner,Audi
5,1.14999,90.0,Petrol,Dealer,Second Owner,Hyundai
18,9.5,21.394,Diesel,Dealer,First Owner,Ford
15,3.1,32.686,Petrol,Dealer,First Owner,Datsun
6,5.75,1.001,Diesel,Dealer,First Owner,Mahindra
17,4.9,22.0,Diesel,Dealer,First Owner,Renault
17,4.8,53.261,Petrol,Dealer,First Owner,Hyundai
16,35.0,53.0,Diesel,Dealer,First Owner,Other
18,3.7,10.0,Petrol,Dealer,First Owner,Renault
17,8.35,14.0,Diesel,Dealer,First Owner,Maruti
17,6.5,44.0,Petrol,Dealer,First Owner,Volkswagen
14,6.7,39.895,Diesel,Dealer,First Owner,Toyota
17,9.5,73.0,Diesel,Dealer,First Owner,Chevrolet
14,6.9,17.0,Petrol,Dealer,First Owner,Honda
17,6.7,18.591,Petrol,Dealer,First Owner,Volkswagen
17,9.25,26.766,Diesel,Dealer,First Owner,Tata
15,2.5,30.0,Petrol,Individual,First Owner,Hyundai
16,5.09999,42.0,Diesel,Individual,First Owner,Tata
14,5.2,110.0,Diesel,Individual,First Owner,Honda
5,1.0,100.0,Diesel,Individual,First Owner,Tata
6,0.85,300.0,Diesel,Individual,Second Owner,Tata
9,1.3,110.0,Diesel,Individual,Third Owner,Tata
18,9.5,27.62,Diesel,Dealer,First Owner,Ford
15,4.5,70.0,Petrol,Individual,First Owner,Ford
12,3.2,50.0,Petrol,Individual,Second Owner,Honda
15,4.8,50.0,Diesel,Individual,First Owner,Maruti
14,24.9,46.0,Diesel,Individual,First Owner,Mercedes-Benz
12,7.9,82.0,Diesel,Individual,First Owner,Toyota
16,1.2,120.0,Petrol,Individual,First Owner,Maruti
6,0.75,80.0,Petrol,Individual,Third Owner,Maruti
10,0.99,70.0,Petrol,Individual,First Owner,Tata
18,10.15,20.0,Diesel,Individual,First Owner,Maruti
13,2.5,200.0,Diesel,Individual,Second Owner,Mahindra
11,5.2,120.0,Diesel,Individual,First Owner,Toyota
18,11.0,30.0,Diesel,Individual,First Owner,Hyundai
5,2.0,223.0,Diesel,Individual,First Owner,Toyota
16,5.25,60.0,Diesel,Individual,First Owner,Maruti
16,5.0,40.0,Petrol,Individual,First Owner,Hyundai
16,6.75,161.327,Diesel,Individual,First Owner,Mahindra
9,1.5,60.0,Petrol,Individual,Third Owner,Hyundai
7,2.5,50.0,Diesel,Individual,First Owner,Mahindra
18,4.5,6.0,Petrol,Individual,First Owner,Hyundai
9,1.5,68.0,Petrol,Individual,Second Owner,Hyundai
12,2.0,85.0,Diesel,Individual,First Owner,Chevrolet
11,5.25,70.0,Diesel,Individual,First Owner,Mahindra
-1,0.6,35.0,Petrol,Individual,Second Owner,Maruti
10,1.8,100.0,Diesel,Individual,Second Owner,Maruti
15,4.75,110.0,Diesel,Individual,First Owner,Honda
10,3.8,195.0,Diesel,Individual,Second Owner,Mahindra
15,2.85,46.0,Petrol,Individual,Second Owner,Maruti
8,0.912,60.0,Petrol,Individual,Second Owner,Maruti
17,2.5,46.0,Petrol,Individual,First Owner,Datsun
15,4.0,42.0,Diesel,Individual,First Owner,Hyundai
6,1.6,90.0,Petrol,Individual,Second Owner,Hyundai
12,6.5,85.0,Diesel,Individual,Second Owner,Skoda
12,4.09999,120.0,Diesel,Individual,Third Owner,Hyundai
13,4.25,72.0,Diesel,Individual,First Owner,Ford
13,2.5,71.0,Other,Individual,Second Owner,Maruti
9,2.0,110.0,Petrol,Individual,Other,Maruti
13,2.5,71.0,Other,Individual,Second Owner,Maruti
10,1.3,144.0,Diesel,Individual,Other,Volkswagen
17,2.6,30.0,Petrol,Dealer,First Owner,Maruti
7,1.55,65.0,Petrol,Dealer,First Owner,Hyundai
15,4.5,38.0,Diesel,Individual,First Owner,Honda
12,2.2,90.0,Petrol,Individual,Second Owner,Maruti
18,6.5,37.0,Diesel,Dealer,First Owner,Hyundai
18,2.85,30.0,Petrol,Dealer,First Owner,Maruti
18,7.25,26.0,Petrol,Dealer,First Owner,Honda
16,6.25,30.0,Petrol,Dealer,First Owner,Maruti
16,5.5,23.0,Petrol,Dealer,First Owner,Hyundai
12,2.4,40.0,Petrol,Dealer,First Owner,Hyundai
14,6.0,27.0,Diesel,Dealer,First Owner,Nissan
12,3.5,65.0,Diesel,Dealer,First Owner,Tata
15,2.45,32.0,Petrol,Dealer,First Owner,Hyundai
16,6.0,56.0,Diesel,Dealer,First Owner,Mahindra
17,24.0,30.0,Diesel,Individual,First Owner,BMW
14,6.2,80.0,Diesel,Dealer,First Owner,Mahindra
14,3.95,52.0,Petrol,Dealer,Second Owner,Maruti
14,6.35,13.25,Petrol,Dealer,First Owner,Maruti
11,1.8,36.0,Petrol,Dealer,First Owner,Maruti
15,4.84999,73.0,Diesel,Dealer,Second Owner,Maruti
4,1.1,60.0,Petrol,Individual,First Owner,Maruti
6,1.5,60.0,Petrol,Individual,Second Owner,Maruti
12,4.0,110.0,Diesel,Individual,First Owner,Chevrolet
12,2.0,70.0,Diesel,Individual,Second Owner,Tata
13,3.02,60.0,Diesel,Individual,Second Owner,Renault
11,2.15,90.0,Diesel,Individual,Other,Maruti
4,1.55,80.0,Petrol,Individual,Second Owner,Maruti
14,10.0,101.0,Diesel,Individual,Second Owner,Toyota
18,5.5,44.0,Diesel,Individual,First Owner,Mahindra
6,2.0,45.0,Petrol,Individual,First Owner,Maruti
17,7.5,120.0,Diesel,Individual,First Owner,Mahindra
5,0.9,90.0,Petrol,Individual,Second Owner,Maruti
7,0.8,120.0,Petrol,Individual,Second Owner,Maruti
13,2.29999,13.5,Petrol,Individual,First Owner,Hyundai
17,3.5,10.0,Petrol,Individual,First Owner,Renault
15,3.25,25.0,Petrol,Individual,Third Owner,Hyundai
18,4.5,8.5,Petrol,Individual,First Owner,Tata
12,2.5,120.0,Diesel,Individual,First Owner,Maruti
12,2.25,120.0,Diesel,Individual,First Owner,Volkswagen
9,1.5,90.246,Petrol,Individual,Third Owner,Maruti
8,1.1,90.0,Petrol,Individual,Second Owner,Maruti
10,1.5,40.0,Petrol,Individual,Second Owner,Maruti
0,1.65,60.0,Petrol,Individual,Other,Maruti
17,6.1,32.0,Diesel,Individual,Second Owner,Renault
13,1.7,60.4,Diesel,Individual,First Owner,Tata
8,1.5,70.95,Diesel,Individual,Second Owner,Hyundai
13,3.0,90.0,Diesel,Individual,First Owner,Hyundai
15,3.75,72.0,Diesel,Individual,First Owner,Hyundai
13,3.9,90.0,Diesel,Individual,First Owner,Maruti
17,6.0,10.0,Petrol,Individual,First Owner,Hyundai
14,2.04999,25.0,Petrol,Individual,Second Owner,Maruti
9,2.7,80.0,Diesel,Individual,Second Owner,Hyundai
17,3.75,10.0,Petrol,Individual,First Owner,Hyundai
20,7.0,1.1,Petrol,Individual,First Owner,Maruti
17,4.55,40.0,Petrol,Individual,First Owner,Maruti
17,3.75,10.0,Petrol,Individual,First Owner,Hyundai
14,3.41,31.491,Petrol,Individual,First Owner,Hyundai
14,2.0,107.143,Diesel,Individual,Second Owner,Maruti
17,4.5,15.0,Petrol,Individual,First Owner,Maruti
12,1.7,50.0,Petrol,Individual,Second Owner,Hyundai
17,19.0,100.0,Diesel,Individual,First Owner,Toyota
16,5.0,60.0,Diesel,Individual,First Owner,Mahindra
16,8.19999,85.0,Diesel,Individual,First Owner,Maruti
14,3.51,40.0,Petrol,Individual,Second Owner,Maruti
11,1.95,80.0,Petrol,Individual,Second Owner,Hyundai
8,2.5,82.0,Diesel,Individual,Second Owner,Maruti
8,1.2,70.0,Petrol,Individual,Second Owner,Maruti
9,1.8,70.0,Petrol,Individual,Third Owner,Maruti
16,4.3,20.0,Diesel,Individual,First Owner,Mahindra
12,0.75,35.0,Petrol,Individual,Second Owner,Tata
17,7.5,80.0,Diesel,Individual,First Owner,Mahindra
11,0.6,40.0,Petrol,Individual,First Owner,Tata
15,15.0,46.412,Diesel,Individual,First Owner,Toyota
11,3.9,150.0,Diesel,Individual,Other,Mahindra
16,6.3,50.0,Diesel,Individual,First Owner,Mahindra
18,10.85,15.0,Diesel,Individual,First Owner,Tata
12,1.9,60.0,Petrol,Individual,Second Owner,Hyundai
18,5.5,25.0,Petrol,Individual,First Owner,Maruti
12,2.0,90.0,Petrol,Individual,Third Owner,Maruti
11,1.65,60.0,Petrol,Individual,First Owner,Chevrolet
13,2.6,65.0,Diesel,Individual,First Owner,Ford
11,1.51,40.0,Petrol,Individual,First Owner,Maruti
18,7.8,50.0,Diesel,Individual,First Owner,Maruti
12,1.75,80.0,Diesel,Individual,Third Owner,Tata
10,1.7,107.5,Diesel,Dealer,First Owner,Tata
13,2.1,135.0,Diesel,Dealer,Second Owner,Tata
7,0.9,43.826,Petrol,Dealer,Second Owner,Maruti
16,5.35,55.838,Petrol,Dealer,First Owner,Hyundai
7,1.95,112.88,Diesel,Dealer,First Owner,Maruti
11,1.4,90.0,Diesel,Individual,Third Owner,Tata
12,3.5,40.0,Petrol,Individual,First Owner,Nissan
13,4.25,66.0,Petrol,Individual,First Owner,Hyundai
17,3.0,30.3,Petrol,Individual,First Owner,Renault
13,3.4,85.0,Diesel,Individual,Second Owner,Volkswagen
9,2.5,80.659,Petrol,Dealer,First Owner,Maruti
8,1.7,81.324,Petrol,Dealer,First Owner,Chevrolet
13,3.15,127.884,Diesel,Dealer,First Owner,Honda
15,2.0,50.0,Petrol,Individual,First Owner,Chevrolet
16,3.0,25.0,Petrol,Individual,First Owner,Chevrolet
15,3.0,66.755,Diesel,Dealer,First Owner,Honda
13,3.8,123.084,Petrol,Dealer,First Owner,Honda
9,2.5,806.599,Petrol,Dealer,First Owner,Maruti
13,3.1,95.851,Diesel,Dealer,First Owner,Honda
10,2.6,50.0,Petrol,Individual,First Owner,Maruti
8,1.5,50.0,Petrol,Individual,Second Owner,Maruti
6,0.85,60.0,Petrol,Individual,Second Owner,Maruti
15,2.8,15.0,Petrol,Individual,Second Owner,Maruti
16,8.5,40.0,Diesel,Individual,First Owner,Mahindra
17,3.75,20.0,Petrol,Individual,Second Owner,Datsun
6,1.25,120.0,Diesel,Individual,Third Owner,Hyundai
12,2.5,110.0,Diesel,Individual,First Owner,Chevrolet
14,7.15,234.0,Diesel,Individual,First Owner,Toyota
11,2.2,70.0,Diesel,Individual,First Owner,Hyundai
10,1.1,110.0,Diesel,Individual,Second Owner,Tata
7,1.5,84.0,Petrol,Individual,Second Owner,Hyundai
12,3.0,170.0,Diesel,Individual,First Owner,Nissan
17,2.2,40.0,Petrol,Individual,First Owner,Datsun
6,0.75,96.0,Petrol,Individual,Second Owner,Maruti
9,1.0,20.0,Diesel,Individual,First Owner,Tata
16,3.8,15.0,Petrol,Individual,First Owner,Ford
7,1.0,50.0,Petrol,Individual,First Owner,Hyundai
10,4.8,80.0,Petrol,Individual,Second Owner,Volkswagen
12,3.0,124.0,Diesel,Individual,First Owner,Toyota
13,1.9,70.0,Diesel,Individual,First Owner,Chevrolet
12,1.9,130.0,Diesel,Individual,Second Owner,Ford
17,6.5,19.014,Petrol,Dealer,First Owner,Ford
9,3.0,23.262,Petrol,Dealer,First Owner,Toyota
16,7.0,29.6,Diesel,Dealer,First Owner,Ford
15,3.1,35.925,Petrol,Dealer,First Owner,Hyundai
18,5.0,12.0,Petrol,Individual,First Owner,Maruti
13,4.15,40.771,Petrol,Dealer,First Owner,Toyota
15,3.95,30.5,Petrol,Dealer,Second Owner,Maruti
14,4.3,42.0,Petrol,Dealer,Second Owner,Toyota
7,2.15,55.8,Petrol,Dealer,Second Owner,Toyota
14,5.5,66.569,Diesel,Dealer,First Owner,Renault
14,4.15,81.358,Diesel,Dealer,First Owner,Volkswagen
15,4.5,82.695,Diesel,Dealer,First Owner,Volkswagen
14,2.85,68.293,Diesel,Dealer,Second Owner,Ford
16,5.8,32.0,Petrol,Dealer,First Owner,Honda
14,3.0,190.621,Diesel,Dealer,First Owner,Maruti
18,12.0,60.0,Diesel,Individual,First Owner,Hyundai
6,0.78,64.7,Petrol,Individual,First Owner,Maruti
2,0.65,100.0,Petrol,Individual,Second Owner,Maruti
16,4.0,88.47,Diesel,Individual,First Owner,Tata
16,8.5,75.0,Diesel,Individual,First Owner,Hyundai
13,4.5,120.0,Diesel,Individual,Second Owner,Volkswagen
12,25.0,35.0,Diesel,Individual,First Owner,Mercedes-Benz
17,7.8,70.0,Diesel,Individual,First Owner,Toyota
17,32.0,57.0,Diesel,Individual,First Owner,Toyota
20,3.5,1.0,Petrol,Individual,First Owner,Maruti
13,2.85,120.0,Diesel,Individual,Second Owner,Mahindra
15,5.25,98.0,Diesel,Dealer,First Owner,Volkswagen
14,5.5,90.0,Diesel,Dealer,Second Owner,Maruti
18,5.8,70.0,Diesel,Individual,First Owner,Volkswagen
13,0.75,25.0,Petrol,Individual,Third Owner,Tata
9,1.85,60.0,Diesel,Individual,Third Owner,Tata
7,1.1,90.0,Petrol,Individual,Other,Maruti
4,1.8,200.0,Petrol,Individual,Second Owner,Honda
10,3.5,110.0,Diesel,Individual,Second Owner,Volkswagen
5,0.6,126.0,Petrol,Individual,Second Owner,Chevrolet
18,6.95,70.0,Diesel,Individual,First Owner,Mahindra
19,27.0,5.0,Diesel,Individual,First Owner,Mahindra
7,1.35,74.183,Petrol,Individual,Second Owner,Maruti
15,6.4,70.0,Diesel,Individual,Second Owner,Mahindra
14,1.6,90.0,Petrol,Individual,First Owner,Maruti
4,0.8,46.0,Petrol,Individual,Second Owner,Tata
13,3.4,110.0,Diesel,Individual,Second Owner,Maruti
12,1.1,80.0,Diesel,Individual,Second Owner,Maruti
13,2.5,90.0,Diesel,Individual,Second Owner,Tata
17,13.0,70.0,Diesel,Individual,First Owner,Toyota
14,2.5,0.001,Diesel,Individual,Second Owner,Mahindra
9,4.5,192.0,Diesel,Individual,First Owner,Toyota
13,2.4,70.0,Petrol,Individual,Other,Maruti
7,2.25,120.0,Diesel,Individual,Second Owner,Mahindra
15,2.75,60.0,Petrol,Individual,Second Owner,Maruti
12,3.2,120.0,Diesel,Individual,Second Owner,Tata
8,0.75,120.0,Petrol,Individual,First Owner,Maruti
7,0.85,50.0,Petrol,Individual,Second Owner,Tata
9,0.9,120.0,Diesel,Individual,First Owner,Tata
7,0.85,80.0,Petrol,Individual,Second Owner,Maruti
8,3.5,80.0,Diesel,Individual,Second Owner,Mahindra
9,3.55,100.0,Diesel,Individual,Second Owner,Skoda
20,6.19,1.5,Petrol,Individual,First Owner,Maruti
18,17.0,50.0,Diesel,Individual,First Owner,Other
6,0.55,100.0,Diesel,Individual,Second Owner,Tata
6,0.95,83.411,Petrol,Individual,First Owner,Ford
11,3.0,120.0,Diesel,Individual,Second Owner,Volkswagen
6,0.81,83.411,Petrol,Individual,First Owner,Ford
15,10.0,80.0,Diesel,Individual,Second Owner,Skoda
19,9.25,50.0,Diesel,Individual,First Owner,Maruti
15,4.5,40.0,Diesel,Individual,First Owner,Mahindra
14,6.0,13.27,Diesel,Individual,First Owner,Mahindra
6,0.85,100.0,Petrol,Individual,Third Owner,Hyundai
16,7.0,50.0,Diesel,Individual,First Owner,Mahindra
17,4.86,26.5,Petrol,Individual,First Owner,Hyundai
13,4.0,90.0,Diesel,Individual,First Owner,Maruti
8,1.2,100.0,Petrol,Individual,Third Owner,Ford
18,2.75,35.0,Petrol,Individual,First Owner,Maruti
16,5.8,57.0,Diesel,Individual,First Owner,Hyundai
15,3.75,70.0,Petrol,Individual,First Owner,Maruti
15,2.29999,100.0,Petrol,Individual,Third Owner,Maruti
10,1.1,88.0,Petrol,Individual,Second Owner,Maruti
17,6.0,60.0,Diesel,Individual,First Owner,Maruti
9,1.2,76.0,Petrol,Individual,Second Owner,Maruti
10,2.0,100.0,Diesel,Individual,Second Owner,Ford
12,4.5,110.0,Diesel,Individual,Second Owner,Hyundai
12,5.5,80.0,Diesel,Individual,Second Owner,Hyundai
12,2.2,80.0,Petrol,Individual,Second Owner,Maruti
1,0.4,30.0,Petrol,Individual,First Owner,Maruti
17,3.0,20.0,Petrol,Individual,First Owner,Renault
18,6.3,40.0,Diesel,Individual,First Owner,Mahindra
17,6.1,40.0,Diesel,Individual,Second Owner,Maruti
19,6.6,7.0,Petrol,Individual,Second Owner,Hyundai
12,2.2,80.0,Other,Individual,Second Owner,Maruti
11,1.38,90.0,Diesel,Individual,Second Owner,Nissan
13,2.1,13.77,Diesel,Individual,First Owner,Nissan
5,1.25,34.0,Petrol,Dealer,First Owner,Maruti
8,1.25,102.0,Petrol,Dealer,First Owner,Maruti
14,7.25,110.0,Diesel,Individual,First Owner,Honda
11,1.7,90.0,Petrol,Individual,Second Owner,Maruti
15,12.0,70.0,Diesel,Individual,Third Owner,Toyota
3,0.7,90.0,Petrol,Individual,Second Owner,Maruti
7,1.0,70.0,Petrol,Individual,Second Owner,Maruti
6,3.0,80.0,Petrol,Individual,Second Owner,Honda
13,4.5,100.0,Diesel,Individual,Second Owner,Maruti
15,5.3,100.0,Diesel,Individual,First Owner,Maruti
7,1.0,143.0,Petrol,Individual,Third Owner,Maruti
10,3.5,115.0,Petrol,Individual,Second Owner,Honda
11,1.65,100.0,Diesel,Individual,Second Owner,Tata
19,4.75,120.0,Diesel,Individual,Second Owner,Maruti
13,3.5,42.0,Diesel,Individual,First Owner,Mahindra
16,2.29999,38.0,Petrol,Individual,First Owner,Renault
18,8.0,35.0,Diesel,Individual,First Owner,Honda
14,4.75,120.0,Diesel,Individual,Second Owner,Maruti
14,4.25,136.906,Diesel,Individual,First Owner,Nissan
15,6.6,97.0,Diesel,Individual,Second Owner,Maruti
19,6.1,10.0,Petrol,Individual,First Owner,Honda
13,2.4,50.0,Petrol,Individual,Third Owner,Honda
5,0.7,60.0,Petrol,Individual,Second Owner,Maruti
11,5.5,120.0,Diesel,Individual,First Owner,Toyota
10,1.0,120.0,Petrol,Individual,Second Owner,Tata
10,3.5,90.0,Diesel,Individual,Second Owner,Mahindra
13,2.0,120.0,Petrol,Individual,First Owner,Hyundai
19,7.2,3.0,Petrol,Individual,First Owner,Hyundai
14,3.5,133.0,Diesel,Individual,First Owner,Maruti
16,4.0,25.0,Petrol,Individual,First Owner,Maruti
17,5.7,35.0,Petrol,Individual,First Owner,Hyundai
15,1.3,70.0,Petrol,Individual,First Owner,Maruti
16,2.1,52.0,Petrol,Individual,First Owner,Maruti
18,8.0,52.0,Diesel,Individual,First Owner,Hyundai
17,7.0,39.0,Diesel,Individual,First Owner,Honda
11,2.0,28.689,Diesel,Individual,First Owner,Tata
14,4.95,90.0,Diesel,Individual,Second Owner,Tata
14,3.25,80.322,Diesel,Dealer,First Owner,Ford
19,6.5,8.0,Petrol,Individual,First Owner,Ford
0,1.55,50.0,Diesel,Individual,Second Owner,Mahindra
7,0.75,90.0,Petrol,Individual,Second Owner,Maruti
15,3.5,61.658,Diesel,Dealer,First Owner,Hyundai
10,0.9,50.0,Petrol,Individual,Third Owner,Maruti
16,6.0,80.0,Diesel,Individual,First Owner,Maruti
10,4.0,185.0,Diesel,Individual,First Owner,Mahindra
14,3.7,57.0,Diesel,Individual,Second Owner,Maruti
0,0.5,60.0,Petrol,Individual,First Owner,Maruti
4,1.25,120.0,Petrol,Individual,Second Owner,Honda
18,18.0,26.0,Diesel,Individual,First Owner,Honda
19,6.5,20.0,Petrol,Individual,First Owner,Hyundai
17,8.0,30.6,Petrol,Individual,First Owner,Maruti
20,8.02,5.0,Petrol,Individual,First Owner,Volkswagen
15,23.0,35.0,Diesel,Individual,Third Owner,Audi
16,4.3,35.0,Diesel,Individual,First Owner,Hyundai
17,6.5,23.0,Petrol,Individual,First Owner,Hyundai
4,1.7,120.0,Diesel,Individual,First Owner,Mahindra
11,4.5,235.0,Diesel,Individual,First Owner,Skoda
13,2.5,87.0,Petrol,Individual,First Owner,Maruti
14,5.5,72.0,Petrol,Individual,Second Owner,Ford
13,20.0,64.0,Diesel,Individual,Second Owner,Other
7,1.4,100.0,Petrol,Individual,Second Owner,Maruti
12,1.55,12.0,Petrol,Individual,First Owner,Chevrolet
10,1.2,67.0,Petrol,Individual,Third Owner,Hyundai
12,2.87,70.0,Diesel,Individual,First Owner,Toyota
16,6.75,60.0,Diesel,Individual,First Owner,Maruti
11,2.35,74.5,Petrol,Individual,Second Owner,Hyundai
11,3.0,118.7,Diesel,Individual,Second Owner,Hyundai
15,4.34999,40.0,Petrol,Individual,Second Owner,Nissan
4,2.25,223.66,Diesel,Individual,Third Owner,Mahindra
6,1.6,140.0,Petrol,Individual,Second Owner,Toyota
20,6.0,5.0,Petrol,Individual,First Owner,Hyundai
16,4.7,100.0,Diesel,Individual,Second Owner,Chevrolet
11,3.0,100.0,Petrol,Individual,Second Owner,Maruti
18,6.0,2.0,Petrol,Individual,First Owner,Maruti
20,6.4,4.0,Petrol,Individual,First Owner,Hyundai
6,0.5,120.0,Diesel,Individual,Other,Tata
15,6.0,35.0,Petrol,Individual,First Owner,Hyundai
14,2.9,29.0,Other,Individual,First Owner,Hyundai
15,6.0,30.0,Petrol,Individual,First Owner,Hyundai
12,1.9,120.0,Diesel,Individual,First Owner,Tata
8,1.6,110.0,Petrol,Individual,Third Owner,Hyundai
17,3.25,15.0,Petrol,Individual,First Owner,Maruti
6,2.0,73.756,Diesel,Individual,First Owner,Mahindra
18,28.0,40.0,Diesel,Individual,First Owner,Toyota
11,1.25,60.0,Petrol,Individual,Third Owner,Chevrolet
8,1.55,60.0,Petrol,Individual,Other,Hyundai
15,5.5,90.0,Diesel,Individual,First Owner,Hyundai
9,1.3,70.0,Petrol,Individual,Other,Maruti
2,0.8,70.0,Petrol,Individual,Second Owner,Maruti
15,5.0,80.0,Diesel,Individual,Second Owner,Toyota
19,2.5,27.0,Petrol,Individual,First Owner,Renault
12,5.8,70.0,Diesel,Individual,First Owner,Mahindra
2,0.6,50.0,Petrol,Individual,First Owner,Other
12,3.0,185.0,Diesel,Individual,First Owner,Toyota
14,2.0,90.0,Diesel,Individual,Second Owner,Ford
17,12.0,16.4,Diesel,Individual,First Owner,Tata
15,3.5,80.0,Diesel,Individual,Second Owner,Toyota
12,6.0,80.0,Diesel,Individual,Second Owner,Mahindra
19,6.5,4.0,Petrol,Individual,First Owner,Honda
8,1.2,40.0,Petrol,Individual,First Owner,Maruti
10,1.8,120.0,Diesel,Individual,Second Owner,Tata
18,9.5,41.395,Petrol,Individual,First Owner,Hyundai
12,2.50999,35.0,Diesel,Individual,Second Owner,Tata
12,3.85,52.0,Diesel,Dealer,First Owner,Skoda
9,12.5,47.0,Diesel,Dealer,Second Owner,Audi
13,1.65,50.0,Petrol,Individual,First Owner,Chevrolet
15,7.0,48.0,Petrol,Dealer,First Owner,Hyundai
15,7.5,53.0,Diesel,Dealer,First Owner,Mahindra
8,0.89999,213.0,Diesel,Individual,First Owner,Mahindra
18,2.9,15.0,Petrol,Dealer,First Owner,Datsun
14,0.45,7.0,Petrol,Individual,Second Owner,Tata
13,6.75,88.0,Diesel,Dealer,First Owner,Skoda
